Assembly	SRR38121710.contigs
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	17
# contigs (>= 10000 bp)	16
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1851697
Total length (>= 1000 bp)	1848680
Total length (>= 5000 bp)	1844334
Total length (>= 10000 bp)	1839180
Total length (>= 25000 bp)	1784992
Total length (>= 50000 bp)	1679961
# contigs	23
Largest contig	444470
Total length	1851697
GC (%)	38.32
N50	243396
N90	50242
auN	231540.0
L50	3
L90	10
# N's per 100 kbp	0.00
