Assembly	SRR38287101.contigs
# contigs (>= 0 bp)	26
# contigs (>= 1000 bp)	21
# contigs (>= 5000 bp)	17
# contigs (>= 10000 bp)	17
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	1749981
Total length (>= 1000 bp)	1746259
Total length (>= 5000 bp)	1734168
Total length (>= 10000 bp)	1734168
Total length (>= 25000 bp)	1734168
Total length (>= 50000 bp)	1538883
# contigs	26
Largest contig	257145
Total length	1749981
GC (%)	38.37
N50	153063
N90	49796
auN	146426.4
L50	5
L90	13
# N's per 100 kbp	0.00
