Assembly	SRR38198053.contigs
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	15
# contigs (>= 5000 bp)	12
# contigs (>= 10000 bp)	11
# contigs (>= 25000 bp)	11
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1821388
Total length (>= 1000 bp)	1820050
Total length (>= 5000 bp)	1815570
Total length (>= 10000 bp)	1810567
Total length (>= 25000 bp)	1810567
Total length (>= 50000 bp)	1772566
# contigs	17
Largest contig	687860
Total length	1821388
GC (%)	38.31
N50	242787
N90	59075
auN	356017.7
L50	2
L90	8
# N's per 100 kbp	0.00
