Assembly	SRR38287108.contigs
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1812468
Total length (>= 1000 bp)	1809774
Total length (>= 5000 bp)	1799546
Total length (>= 10000 bp)	1790526
Total length (>= 25000 bp)	1766289
Total length (>= 50000 bp)	1654200
# contigs	23
Largest contig	364705
Total length	1812468
GC (%)	38.06
N50	169970
N90	50157
auN	191971.9
L50	4
L90	10
# N's per 100 kbp	0.00
