Assembly	SRR38121700.contigs
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	13
# contigs (>= 10000 bp)	12
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	1886847
Total length (>= 1000 bp)	1886041
Total length (>= 5000 bp)	1884646
Total length (>= 10000 bp)	1879492
Total length (>= 25000 bp)	1879492
Total length (>= 50000 bp)	1879492
# contigs	15
Largest contig	284580
Total length	1886847
GC (%)	38.14
N50	220092
N90	76949
auN	196293.5
L50	4
L90	10
# N's per 100 kbp	0.00
