Assembly	SRR38121712.contigs
# contigs (>= 0 bp)	30
# contigs (>= 1000 bp)	27
# contigs (>= 5000 bp)	21
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	16
# contigs (>= 50000 bp)	14
Total length (>= 0 bp)	1838508
Total length (>= 1000 bp)	1836460
Total length (>= 5000 bp)	1822189
Total length (>= 10000 bp)	1816185
Total length (>= 25000 bp)	1749002
Total length (>= 50000 bp)	1685351
# contigs	30
Largest contig	367447
Total length	1838508
GC (%)	38.19
N50	124968
N90	50147
auN	162153.7
L50	5
L90	14
# N's per 100 kbp	0.00
