Assembly	SRR38121703.contigs
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	11
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1853837
Total length (>= 1000 bp)	1852310
Total length (>= 5000 bp)	1850441
Total length (>= 10000 bp)	1845287
Total length (>= 25000 bp)	1845287
Total length (>= 50000 bp)	1845287
# contigs	14
Largest contig	531071
Total length	1853837
GC (%)	38.44
N50	277175
N90	80781
auN	314151.3
L50	3
L90	8
# N's per 100 kbp	0.00
