Assembly	SRR38287105.contigs
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	16
# contigs (>= 10000 bp)	15
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1815368
Total length (>= 1000 bp)	1813155
Total length (>= 5000 bp)	1808291
Total length (>= 10000 bp)	1803095
Total length (>= 25000 bp)	1787042
Total length (>= 50000 bp)	1637520
# contigs	21
Largest contig	295161
Total length	1815368
GC (%)	38.17
N50	207930
N90	80045
auN	186759.8
L50	4
L90	10
# N's per 100 kbp	0.00
