Assembly	SRR38287114.contigs
# contigs (>= 0 bp)	24
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	17
# contigs (>= 10000 bp)	16
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	1761725
Total length (>= 1000 bp)	1757345
Total length (>= 5000 bp)	1755903
Total length (>= 10000 bp)	1750749
Total length (>= 25000 bp)	1691033
Total length (>= 50000 bp)	1604528
# contigs	24
Largest contig	350832
Total length	1761725
GC (%)	38.51
N50	163039
N90	50151
auN	191187.6
L50	4
L90	11
# N's per 100 kbp	0.00
