Assembly	SRR38287102.contigs
# contigs (>= 0 bp)	30
# contigs (>= 1000 bp)	27
# contigs (>= 5000 bp)	22
# contigs (>= 10000 bp)	22
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1849234
Total length (>= 1000 bp)	1847092
Total length (>= 5000 bp)	1834916
Total length (>= 10000 bp)	1834916
Total length (>= 25000 bp)	1742515
Total length (>= 50000 bp)	1467197
# contigs	30
Largest contig	273925
Total length	1849234
GC (%)	38.19
N50	213352
N90	34480
auN	156226.1
L50	4
L90	15
# N's per 100 kbp	0.00
