Assembly	SRR38121699.contigs
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	13
# contigs (>= 5000 bp)	11
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1822836
Total length (>= 1000 bp)	1822016
Total length (>= 5000 bp)	1819084
Total length (>= 10000 bp)	1813105
Total length (>= 25000 bp)	1813105
Total length (>= 50000 bp)	1813105
# contigs	14
Largest contig	687630
Total length	1822836
GC (%)	38.31
N50	242786
N90	80039
auN	358332.7
L50	2
L90	8
# N's per 100 kbp	0.00
