Assembly	SRR38121698.contigs
# contigs (>= 0 bp)	26
# contigs (>= 1000 bp)	24
# contigs (>= 5000 bp)	21
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	13
Total length (>= 0 bp)	1764318
Total length (>= 1000 bp)	1762775
Total length (>= 5000 bp)	1755934
Total length (>= 10000 bp)	1750780
Total length (>= 25000 bp)	1692789
Total length (>= 50000 bp)	1540158
# contigs	26
Largest contig	249987
Total length	1764318
GC (%)	38.44
N50	120302
N90	46964
auN	135403.0
L50	5
L90	15
# N's per 100 kbp	0.00
