Assembly	SRR38121702.contigs
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	17
# contigs (>= 5000 bp)	16
# contigs (>= 10000 bp)	15
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1857196
Total length (>= 1000 bp)	1854639
Total length (>= 5000 bp)	1851260
Total length (>= 10000 bp)	1846104
Total length (>= 25000 bp)	1830051
Total length (>= 50000 bp)	1697163
# contigs	21
Largest contig	295267
Total length	1857196
GC (%)	38.18
N50	223749
N90	66243
auN	196100.7
L50	4
L90	10
# N's per 100 kbp	0.00
