Assembly	SRR38287106.contigs
# contigs (>= 0 bp)	28
# contigs (>= 1000 bp)	27
# contigs (>= 5000 bp)	20
# contigs (>= 10000 bp)	18
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	1751033
Total length (>= 1000 bp)	1750403
Total length (>= 5000 bp)	1732374
Total length (>= 10000 bp)	1718648
Total length (>= 25000 bp)	1661775
Total length (>= 50000 bp)	1544018
# contigs	28
Largest contig	252785
Total length	1751033
GC (%)	38.37
N50	147824
N90	49931
auN	148844.1
L50	5
L90	13
# N's per 100 kbp	0.00
