Assembly	SRR38121707.contigs
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	17
# contigs (>= 10000 bp)	15
# contigs (>= 25000 bp)	11
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	1811251
Total length (>= 1000 bp)	1807274
Total length (>= 5000 bp)	1794224
Total length (>= 10000 bp)	1778678
Total length (>= 25000 bp)	1692809
Total length (>= 50000 bp)	1650470
# contigs	29
Largest contig	364801
Total length	1811251
GC (%)	38.06
N50	169996
N90	50093
auN	190875.0
L50	4
L90	10
# N's per 100 kbp	0.00
