Assembly	SRR38121711.contigs
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	16
# contigs (>= 10000 bp)	15
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	1713337
Total length (>= 1000 bp)	1711834
Total length (>= 5000 bp)	1704790
Total length (>= 10000 bp)	1695926
Total length (>= 25000 bp)	1682409
Total length (>= 50000 bp)	1555940
# contigs	21
Largest contig	269239
Total length	1713337
GC (%)	38.34
N50	132619
N90	81202
auN	155965.1
L50	5
L90	11
# N's per 100 kbp	0.00
